id,title,description,url
1793,Maximum Score of a Good Subarray,"You are given an array of integers nums (0-indexed) and an integer k . The score of a subarray (i, j) is defined as min(nums[i], nums[i+1], ..., nums[j]) * (j - i + 1) . A good subarray is a subarray where i <= k <= j . Return the maximum possible score of a good subarray. Example 1: Input: nums = [1,4,3,7,4,5], k = 3 Output: 15 Explanation: The optimal subarray is (1, 5) with a score of min(4,3,7,4,5) * (5-1+1) = 3 * 5 = 15. Example 2: Input: nums = [5,5,4,5,4,1,1,1], k = 0 Output: 20 Explanation: The optimal subarray is (0, 4) with a score of min(5,5,4,5,4) * (4-0+1) = 4 * 5 = 20. Constraints: 1 <= nums.length <= 10 5 1 <= nums[i] <= 2 * 10 4 0 <= k < nums.length",https://leetcode.ca/2020-10-27-1793-Maximum-Score-of-a-Good-Subarray
1794,Count Pairs of Equal Substrings With Minimum Difference,"You are given two strings firstString and secondString that are 0-indexed and consist only of lowercase English letters. Count the number of index quadruples (i,j,a,b) that satisfy the following conditions: 0 <= i <= j < firstString.length 0 <= a <= b < secondString.length The substring of firstString that starts at the i th character and ends at the j th character (inclusive) is equal to the substring of secondString that starts at the a th character and ends at the b th character (inclusive). j - a is the minimum possible value among all quadruples that satisfy the previous conditions. Return the number of such quadruples . Example 1: Input: firstString = ""abcd"", secondString = ""bccda"" Output: 1 Explanation: The quadruple (0,0,4,4) is the only one that satisfies all the conditions and minimizes j - a. Example 2: Input: firstString = ""ab"", secondString = ""cd"" Output: 0 Explanation: There are no quadruples satisfying all the conditions. Constraints: 1 <= firstString.length, secondString.length <= 2 * 10 5 Both strings consist only of lowercase English letters.",https://leetcode.ca/2020-10-28-1794-Count-Pairs-of-Equal-Substrings-With-Minimum-Difference
1795,Rearrange Products Table,"Table: Products +-------------+---------+ | Column Name | Type | +-------------+---------+ | product_id | int | | store1 | int | | store2 | int | | store3 | int | +-------------+---------+ product_id is the primary key (column with unique values) for this table. Each row in this table indicates the product's price in 3 different stores: store1, store2, and store3. If the product is not available in a store, the price will be null in that store's column. Write a solution to rearrange the Products table so that each row has (product_id, store, price) . If a product is not available in a store, do not include a row with that product_id and store combination in the result table. Return the result table in any order . The result format is in the following example. Example 1: Input: Products table: +------------+--------+--------+--------+ | product_id | store1 | store2 | store3 | +------------+--------+--------+--------+ | 0 | 95 | 100 | 105 | | 1 | 70 | null | 80 | +------------+--------+--------+--------+ Output: +------------+--------+-------+ | product_id | store | price | +------------+--------+-------+ | 0 | store1 | 95 | | 0 | store2 | 100 | | 0 | store3 | 105 | | 1 | store1 | 70 | | 1 | store3 | 80 | +------------+--------+-------+ Explanation: Product 0 is available in all three stores with prices 95, 100, and 105 respectively. Product 1 is available in store1 with price 70 and store3 with price 80. The product is not available in store2.",https://leetcode.ca/2020-10-29-1795-Rearrange-Products-Table
1796,Second Largest Digit in a String,"Given an alphanumeric string s , return the second largest numerical digit that appears in s , or -1 if it does not exist . An alphanumeric string is a string consisting of lowercase English letters and digits. Example 1: Input: s = ""dfa12321afd"" Output: 2 Explanation: The digits that appear in s are [1, 2, 3]. The second largest digit is 2. Example 2: Input: s = ""abc1111"" Output: -1 Explanation: The digits that appear in s are [1]. There is no second largest digit. Constraints: 1 <= s.length <= 500 s consists of only lowercase English letters and/or digits.",https://leetcode.ca/2020-10-30-1796-Second-Largest-Digit-in-a-String
1797,Design Authentication Manager,"There is an authentication system that works with authentication tokens. For each session, the user will receive a new authentication token that will expire timeToLive seconds after the currentTime . If the token is renewed, the expiry time will be extended to expire timeToLive seconds after the (potentially different) currentTime . Implement the AuthenticationManager class: AuthenticationManager(int timeToLive) constructs the AuthenticationManager and sets the timeToLive . generate(string tokenId, int currentTime) generates a new token with the given tokenId at the given currentTime in seconds. renew(string tokenId, int currentTime) renews the unexpired token with the given tokenId at the given currentTime in seconds. If there are no unexpired tokens with the given tokenId , the request is ignored, and nothing happens. countUnexpiredTokens(int currentTime) returns the number of unexpired tokens at the given currentTime. Note that if a token expires at time t , and another action happens on time t ( renew or countUnexpiredTokens ), the expiration takes place before the other actions. Example 1: Input [""AuthenticationManager"", "" renew "", ""generate"", "" countUnexpiredTokens "", ""generate"", "" renew "", "" renew "", "" countUnexpiredTokens ""] [[5], [""aaa"", 1], [""aaa"", 2], [6], [""bbb"", 7], [""aaa"", 8], [""bbb"", 10], [15]] Output [null, null, null, 1, null, null, null, 0] Explanation AuthenticationManager authenticationManager = new AuthenticationManager(5); // Constructs the AuthenticationManager with timeToLive = 5 seconds. authenticationManager. renew (""aaa"", 1); // No token exists with tokenId ""aaa"" at time 1, so nothing happens. authenticationManager.generate(""aaa"", 2); // Generates a new token with tokenId ""aaa"" at time 2. authenticationManager. countUnexpiredTokens (6); // The token with tokenId ""aaa"" is the only unexpired one at time 6, so return 1. authenticationManager.generate(""bbb"", 7); // Generates a new token with tokenId ""bbb"" at time 7. authenticationManager. renew (""aaa"", 8); // The token with tokenId ""aaa"" expired at time 7, and 8 >= 7, so at time 8 the renew request is ignored, and nothing happens. authenticationManager. renew (""bbb"", 10); // The token with tokenId ""bbb"" is unexpired at time 10, so the renew request is fulfilled and now the token will expire at time 15. authenticationManager. countUnexpiredTokens (15); // The token with tokenId ""bbb"" expires at time 15, and the token with tokenId ""aaa"" expired at time 7, so currently no token is unexpired, so return 0. Constraints: 1 <= timeToLive <= 10 8 1 <= currentTime <= 10 8 1 <= tokenId.length <= 5 tokenId consists only of lowercase letters. All calls to generate will contain unique values of tokenId . The values of currentTime across all the function calls will be strictly increasing . At most 2000 calls will be made to all functions combined.",https://leetcode.ca/2020-10-31-1797-Design-Authentication-Manager
1798,Maximum Number of Consecutive Values You Can Make,"You are given an integer array coins of length n which represents the n coins that you own. The value of the i th coin is coins[i] . You can make some value x if you can choose some of your n coins such that their values sum up to x . Return the maximum number of consecutive integer values that you can make with your coins starting from and including 0 . Note that you may have multiple coins of the same value. Example 1: Input: coins = [1,3] Output: 2 Explanation: You can make the following values: - 0: take [] - 1: take [1] You can make 2 consecutive integer values starting from 0. Example 2: Input: coins = [1,1,1,4] Output: 8 Explanation: You can make the following values: - 0: take [] - 1: take [1] - 2: take [1,1] - 3: take [1,1,1] - 4: take [4] - 5: take [4,1] - 6: take [4,1,1] - 7: take [4,1,1,1] You can make 8 consecutive integer values starting from 0. Example 3: Input: nums = [1,4,10,3,1] Output: 20 Constraints: coins.length == n 1 <= n <= 4 * 10 4 1 <= coins[i] <= 4 * 10 4",https://leetcode.ca/2020-11-01-1798-Maximum-Number-of-Consecutive-Values-You-Can-Make
1799,Maximize Score After N Operations,"You are given nums , an array of positive integers of size 2 * n . You must perform n operations on this array. In the i th operation (1-indexed) , you will: Choose two elements, x and y . Receive a score of i * gcd(x, y) . Remove x and y from nums . Return the maximum score you can receive after performing n operations. The function gcd(x, y) is the greatest common divisor of x and y . Example 1: Input: nums = [1,2] Output: 1 Explanation: The optimal choice of operations is: (1 * gcd(1, 2)) = 1 Example 2: Input: nums = [3,4,6,8] Output: 11 Explanation: The optimal choice of operations is: (1 * gcd(3, 6)) + (2 * gcd(4, 8)) = 3 + 8 = 11 Example 3: Input: nums = [1,2,3,4,5,6] Output: 14 Explanation: The optimal choice of operations is: (1 * gcd(1, 5)) + (2 * gcd(2, 4)) + (3 * gcd(3, 6)) = 1 + 4 + 9 = 14 Constraints: 1 <= n <= 7 nums.length == 2 * n 1 <= nums[i] <= 10 6",https://leetcode.ca/2020-11-02-1799-Maximize-Score-After-N-Operations
1800,Maximum Ascending Subarray Sum,"Given an array of positive integers nums , return the maximum possible sum of an ascending subarray in nums . A subarray is defined as a contiguous sequence of numbers in an array. A subarray [nums l , nums l+1 , ..., nums r-1 , nums r ] is ascending if for all i where l <= i < r , nums i < nums i+1 . Note that a subarray of size 1 is ascending . Example 1: Input: nums = [10,20,30,5,10,50] Output: 65 Explanation: [5,10,50] is the ascending subarray with the maximum sum of 65. Example 2: Input: nums = [10,20,30,40,50] Output: 150 Explanation: [10,20,30,40,50] is the ascending subarray with the maximum sum of 150. Example 3: Input: nums = [12,17,15,13,10,11,12] Output: 33 Explanation: [10,11,12] is the ascending subarray with the maximum sum of 33. Constraints: 1 <= nums.length <= 100 1 <= nums[i] <= 100",https://leetcode.ca/2020-11-03-1800-Maximum-Ascending-Subarray-Sum
1801,Number of Orders in the Backlog,"You are given a 2D integer array orders , where each orders[i] = [price i , amount i , orderType i ] denotes that amount i orders have been placed of type orderType i at the price price i . The orderType i is: 0 if it is a batch of buy orders, or 1 if it is a batch of sell orders. Note that orders[i] represents a batch of amount i independent orders with the same price and order type. All orders represented by orders[i] will be placed before all orders represented by orders[i+1] for all valid i . There is a backlog that consists of orders that have not been executed. The backlog is initially empty. When an order is placed, the following happens: If the order is a buy order, you look at the sell order with the smallest price in the backlog. If that sell order's price is smaller than or equal to the current buy order's price, they will match and be executed, and that sell order will be removed from the backlog. Else, the buy order is added to the backlog. Vice versa, if the order is a sell order, you look at the buy order with the largest price in the backlog. If that buy order's price is larger than or equal to the current sell order's price, they will match and be executed, and that buy order will be removed from the backlog. Else, the sell order is added to the backlog. Return the total amount of orders in the backlog after placing all the orders from the input . Since this number can be large, return it modulo 10 9 + 7 . Example 1: Input: orders = [[10,5,0],[15,2,1],[25,1,1],[30,4,0]] Output: 6 Explanation: Here is what happens with the orders: - 5 orders of type buy with price 10 are placed. There are no sell orders, so the 5 orders are added to the backlog. - 2 orders of type sell with price 15 are placed. There are no buy orders with prices larger than or equal to 15, so the 2 orders are added to the backlog. - 1 order of type sell with price 25 is placed. There are no buy orders with prices larger than or equal to 25 in the backlog, so this order is added to the backlog. - 4 orders of type buy with price 30 are placed. The first 2 orders are matched with the 2 sell orders of the least price, which is 15 and these 2 sell orders are removed from the backlog. The 3 rd order is matched with the sell order of the least price, which is 25 and this sell order is removed from the backlog. Then, there are no more sell orders in the backlog, so the 4 th order is added to the backlog. Finally, the backlog has 5 buy orders with price 10, and 1 buy order with price 30. So the total number of orders in the backlog is 6. Example 2: Input: orders = [[7,1000000000,1],[15,3,0],[5,999999995,0],[5,1,1]] Output: 999999984 Explanation: Here is what happens with the orders: - 10 9 orders of type sell with price 7 are placed. There are no buy orders, so the 10 9 orders are added to the backlog. - 3 orders of type buy with price 15 are placed. They are matched with the 3 sell orders with the least price which is 7, and those 3 sell orders are removed from the backlog. - 999999995 orders of type buy with price 5 are placed. The least price of a sell order is 7, so the 999999995 orders are added to the backlog. - 1 order of type sell with price 5 is placed. It is matched with the buy order of the highest price, which is 5, and that buy order is removed from the backlog. Finally, the backlog has (1000000000-3) sell orders with price 7, and (999999995-1) buy orders with price 5. So the total number of orders = 1999999991, which is equal to 999999984 % (10 9 + 7). Constraints: 1 <= orders.length <= 10 5 orders[i].length == 3 1 <= price i , amount i <= 10 9 orderType i is either 0 or 1 .",https://leetcode.ca/2020-11-04-1801-Number-of-Orders-in-the-Backlog
1802,Maximum Value at a Given Index in a Bounded Array,"You are given three positive integers: n , index , and maxSum . You want to construct an array nums ( 0-indexed ) that satisfies the following conditions: nums.length == n nums[i] is a positive integer where 0 <= i < n . abs(nums[i] - nums[i+1]) <= 1 where 0 <= i < n-1 . The sum of all the elements of nums does not exceed maxSum . nums[index] is maximized . Return nums[index] of the constructed array . Note that abs(x) equals x if x >= 0 , and -x otherwise. Example 1: Input: n = 4, index = 2, maxSum = 6 Output: 2 Explanation: nums = [1,2, 2 ,1] is one array that satisfies all the conditions. There are no arrays that satisfy all the conditions and have nums[2] == 3, so 2 is the maximum nums[2]. Example 2: Input: n = 6, index = 1, maxSum = 10 Output: 3 Constraints: 1 <= n <= maxSum <= 10 9 0 <= index < n",https://leetcode.ca/2020-11-05-1802-Maximum-Value-at-a-Given-Index-in-a-Bounded-Array
